w_code	w_name	population
41211	Dire	63653
41212	Teltele	78737
41213	Abaya	130061
41215	Dugdadewa	108399
41216	Meyo	63865
41217	Gelana	87470
41301	Ameya	152131
41302	Wonchi	115654
41303	Weliso	179231
41304	Dawo	108038
41305	EIlu	77248
41306	Sebeta Hawas	166803
41307	Kersana Malima	101474
41308	Tole	80304
41309	Becho	94391
41310	Seden Sodo	85169
41311	Weliso Town	54264
41312	Goro	57855
41313	Sodo Dac'ha	52621
41314	Sebeta Town	80437
41401	Uraga	220852
41402	Bore	145265
41403	Adola	140753
41404	Wadera	62894
41405	Odo Shakiso	147167
41406	kERCHA	285877
41407	Liben	85543
41408	Dima	79749
41409	Hambela Wamena	137613
41410	GIRJA	62258
41411	Negele Town	52591
41501	Adama Town	197362
416010	Jimma Spe Town	172823
41701	Siraro	180954
41702	Shala	189198
41703	Arsi Negele	337331
41704	Kofele	225297
41705	Kore	129654
41706	Gedeb Asasa	236447
41707	Dodola	238705
41708	Kokosa	179462
41709	Nensebo	142914
41710	Adaba	173949
41711	Shashemene Town	146257
41712	Shashemene	309009
41801	Hawa Gelan	123662
41802	Yemalogi Welel	63901
41803	Dale Wabera	133576
41804	Gawo Qebe	81249
41805	Seyo	145426
41807	Anfilo	98377
41808	Dale Sedi	93484
41809	Gidame	106357
41810	JIMMA HORO	57339
41811	Laloqile	64205
41901	Horo	94680
41902	Shambu Town	22639
41903	GUDRU	123785
41904	Hababo Guduru	56468
41905	Abay Chomen	62586
41906	Jima Geneti	83551
41907	Jima Rare	71553
41908	JARTE JARDGA	61492
41909	AMURU	66081
41910	Abe Dengoro	83416
42001	Burayu	88598
60201	Mabuk Dangur	51660
60202	Guba	18876
60203	Wenbera	63624
60204	Mandura	46323
60205	Dibate	68634
60207	Bulen	49382
60301	Menge	50834
60302	Kurmuk	17201
60303	ASSOSA	110673
60304	Sherkole	25325
60305	Bambasi	51919
60306	Oda Bildagul	55571
60307	Homosha	27238
60401	Yaso	15985
60402	Sirba Abay	19128
60403	Kamashi	20750
60404	Agalometi	23986
60405	Blo Jiganifado	31660
60501	Pawe Special	47771
60601	Maokomo	53268
70101	Kebena	64627
70102	Abeshege	75948
70103	Ezha	106694
70104	Kokir Gedebano	118615
70105	SODO WEREDA	169230
70106	Meskan	200969
70107	Mareqo	79737
70108	Endguagn	61782
70109	Gumer	100762
70110	Cheha	145705
70111	ENEMOR ENER	210850
70112	Muhur NA Aklil	109083
70113	Geta	87276
70114	WELEIKITE TOWN	36271
70115	Butajira Town	41974
70201	Misha	159406
70202	Gibe	137276
70203	LEMMO	149048
70204	Shashago	128794
70205	West BADAWOCHO	104865
70206	Soro	247236
70207	Duna	158252
70208	Analemmo	92020
70209	East BADAWOCHO	182495
70210	Gombora	116058
70211	Hosaena	87933
70301	Tibaro	133689
70302	Anigacha	110688
70303	Duramba TA	30738
70304	Kacha Bira	145241
70305	Hadaro Tunito	123449
70306	Doyo Gena	98753
70307	Daniboya	102783
70308	Kedida Gamela	113374
70401	Shebedino	238616
70402	AWASA ZURIYA	175838
70403	ARBEGONA	181380
70404	Dale	231564
70405	Aleta Wondo	209714
70406	Dara	198432
70407	Hula	163950
70408	BENSA	315586
70409	ARORESA	213864
70410	Boricha	297072
70411	Gorche	175698
70412	Malga	143332
70413	Wensho	151659
70414	Loko Abaya	124711
70415	CHIRE	143813
70416	Bursa	126503
70417	Aleta Chuko	215779
70418	Bona Zuriya	161472
70420	Wendo Genet	192671
70501	Wenago	147857
70502	Yirgachefe	230223
70503	Kochore	165188
70504	Bule	133139
70505	DilaZuria	122337
70506	Gedeb	184437
70507	Dila Town	102624
70601	BOLOSSA SORE	211565
70602	DAMOT GALE	159541
70603	Damot Woyide	121044
70604	Humbo	157480
70605	Sodo Zuriya	205854
70606	Kindo Koyisha	137230
70607	OFA	131071
70608	Bolossa Bonibe	114621
70609	Damot Sore	133464
70610	Kindo Didaye	124664
70611	Damot Pulasa	135856
70612	Deguna Fanigo	121262
70613	Sodo Town	96510
70700	Mago National Park	0
70701	Selamago	36311
70702	South Ari	241170
70703	GELILA	25795
70704	Hamer	74362
70705	Bena Tsemay	69875
70706	Dasenech	64808
70707	Male	106411
70708	nyngatom	22163
70801	Masha	42751
70802	ANDERACHA	30549
70803	YEKI	137840
70901	Sayilem	51334
70902	Gesha	106921
70903	Gewata	92235
70904	Gimbo	114152
70905	Menjwo	135359
70906	Telo	80837
70907	Cheta	40990
70908	Decha	161964
70909	CHENA	202738
70910	Bita	93700
70911	Bonga Town	26214
71000	Nech Sar National Park	0
71001	Melekoza	152254
71002	DENIBU GOFA	102013
71003	Kucha	188337
71004	BeREDA	85407
71005	Mirab Abaya	94148
71006	Ariba Minichi Zuriya	208254
71007	CHENCHA	140378
71008	DITA	105526
71009	Daramalo	101813
71010	Zala	92695
71011	Uba Debretsehay	86873
71012	KEMBA	195770
71013	BONKE	199600
71014	Geze Gofa	87191
71015	Oyida	41868
71016	Arba Minch Town	94075
71017	Sawula Town	29375
71101	Sheko	64350
71102	Guraferda	44326
71103	Southern Bench	137364
71104	Shay Bench	146665
71105	MEANT GOLDIYA	112474
71106	Minit Shasha	56269
71107	MAJI	42533
71108	BERO	15384
71109	Surima	30915
71110	Semen Bench	134763
71111	Mizan Aman Town	43354
71201	YEME SPECIAL	101370
71301	Amaro Special Wereda	187770
71401	Burji Special	71047
71501	Konso Special	295370
71601	Derashe Special	179341
71701	Tocha	129994
71702	Mareka	147806
71703	Loma	137208
71704	Gena Bosa	110302
71705	Esira	82647
71801	Basketo	71242
71901	Konta  Special	0
72001	Alicho Woriro	116230
72002	Silite	210974
72003	Lanifaro	145922
72004	East AZERNET BERBERE	63756
72005	Dalocha	113167
72006	Sankura	106474
72007	WestAzerenet Berbere	75222
72008	Wilbareg	11915
72100	Alge Tec College	0
72101	Alaba	258169
72219	Awassa Town	326563
